Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
pcd,2,2,2400,12,0.79,https://llantasneumaticos.com/pcd/,196,2.33,154.00,0,86100000,"[43,43,43,65,65,54,100,65,65,43,54,54]",2026-03-25,"Image pack, Video, Related searches, AI overview",informational,Organic
leon seat 2008,1,1,1300,28,0.13,https://llantasneumaticos.com/size/seat/leon/2008/,173,2.05,22.00,0.23,132,"[100,100,100,76,76,76,100,76,100,76,76,67]",2026-03-19,"Image pack, Video, Image, People also ask, Related searches",informational,Image pack
c4 citroen 2008,1,1,1300,,0.08,https://llantasneumaticos.com/size/citroen/c4/2008/,173,2.05,13.00,0.27,96800000,"[81,81,62,62,62,36,81,100,81,81,81,81]",2026-02-05,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",navigational,Image pack
1992 audi 90,1,1,2900,17,3.15,https://llantasneumaticos.com/size/audi/90/1992/,119,1.41,374.00,0.1,21300000,"[80,80,100,66,80,66,80,66,52,66,80,80]",2026-03-30,"Image pack, Video, Image, Related searches",informational,Image pack
toyota vanette,1,1,2900,24,0.23,https://llantasneumaticos.com/size/toyota/van/1983-1990/,119,1.41,27.00,0.04,156,"[16,53,66,100,53,53,53,53,44,53,53,53]",2026-03-30,"Image pack, Video, Image, Video Carousel, Related searches",informational,Image pack
llantas y neumaticos,1,1,480,18,0.16,https://llantasneumaticos.com/,119,1.41,19.00,0.92,0,"[24,24,36,30,45,55,36,30,30,55,30,30]",2026-03-19,"Local pack, Video, Related searches",commercial,Organic
llantas neumaticas,1,1,480,11,0.17,https://llantasneumaticos.com/,119,1.41,20.00,0.93,501000,"[0,0,19,36,100,100,67,100,54,54,54,54]",2026-02-10,"Image pack, Sitelinks, Video, People also ask, Popular products, Related searches",informational,Organic
astra opel 2008,1,1,590,24,0.14,https://llantasneumaticos.com/size/opel/astra/2008/,78,0.92,10.00,0.27,126000000,"[67,67,67,81,67,67,67,67,67,81,67,67]",2026-02-14,"Image pack, Video, Image, People also ask, Related searches",informational,Image pack
gle class coupe,1,1,1600,10,0.31,https://llantasneumaticos.com/size/mercedes/gle-class-coupe-amg/,66,0.78,20.00,0.93,0,"[3,43,81,65,20,29,100,81,5,4,43,3]",2026-03-14,"Image pack, Video, Image, Related searches","informational, transactional",Image pack
hyundai click,1,1,1600,20,0.10,https://llantasneumaticos.com/size/hyundai/click/,66,0.78,6.00,0.41,218000000,"[80,100,80,100,80,0,0,0,0,0,0,44]",2026-02-01,"Image pack, Video, Image, People also ask, Related searches",informational,Image pack
seat leon 2005,1,1,1600,19,0.12,https://llantasneumaticos.com/size/seat/leon/2005/,66,0.78,7.00,0.11,73500000,"[100,68,84,84,68,68,100,68,68,84,68,52]",2026-03-31,"Image pack, Video, Image, Related searches",informational,Image pack
ford capri 1980,1,1,1600,25,0.00,https://llantasneumaticos.com/size/ford/capri/1980/,66,0.78,0.00,0.04,2750000,"[3,100,35,29,44,16,13,16,24,24,18,24]",2026-02-08,"Image pack, Video, Image, People also ask, Related searches",informational,Image pack
llantas neumaticos,1,1,260,20,0.17,https://llantasneumaticos.com/?nocache=1,64,0.76,10.00,0.93,13400000,"[100,53,43,100,66,66,28,66,100,82,82,100]",2026-02-20,"Video, Video Carousel, Popular products, Related searches",informational,Organic
hyundai lavita,1,1,1300,15,0.64,https://llantasneumaticos.com/size/hyundai/lavita/,53,0.63,33.00,0.32,1260000,"[84,84,84,37,68,100,84,84,84,31,84,84]",2026-01-30,"Image pack, Video, Image, People also ask, Related searches",informational,Image pack
neumaticos y llantas,1,1,210,42,0.17,https://llantasneumaticos.com/,52,0.61,8.00,0.93,9510000,"[100,29,5,10,12,36,12,29,19,15,12,44]",2026-02-15,"Video, Image, Video Carousel, Popular products, Related searches",informational,Organic
ranger v,1,1,390,28,0.00,https://llantasneumaticos.com/size/ford/ranger/p703-2022-now/,51,0.6,0.00,0,578000000,"[0,44,0,0,44,16,1,13,0,16,16,0]",2026-01-31,"Image pack, Video, Image, People also ask, Related searches, Short videos",informational,Image pack
seat cordoba 2000,1,1,390,26,0.00,https://llantasneumaticos.com/size/seat/cordoba/2000/,51,0.6,0.00,0.01,5890000,"[36,67,67,67,36,44,36,54,44,44,54,44]",2026-02-15,"Image pack, Sitelinks, Image, People also ask, Related searches",informational,Image pack
bmw 2007,1,1,390,27,0.04,https://llantasneumaticos.com/size/bmw/5-series/2007/,51,0.6,2.00,0.06,363000000,"[66,66,81,81,66,81,66,100,81,66,81,81]",2026-02-10,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",navigational,Image pack
nissan note 2007,1,1,390,27,0.17,https://llantasneumaticos.com/size/nissan/note/2007/,51,0.6,8.00,0.08,69500000,"[66,81,81,81,66,54,66,81,81,81,66,66]",2026-02-01,"Image pack, Video, Image, People also ask, Related searches",informational,Image pack
kalos chevrolet 2005,1,1,320,26,0.35,https://llantasneumaticos.com/size/chevrolet/kalos/2005/,42,0.49,14.00,0.12,4290000,"[66,82,66,100,82,100,82,66,66,82,82,66]",2026-02-05,"Image pack, Video, Image, People also ask, Related searches",informational,Image pack
medidas llantas,1,1,170,15,0.00,https://llantasneumaticos.com/,42,0.49,0.00,0.07,35500000,"[43,43,43,43,43,54,29,22,29,29,35,29]",2026-02-06,"Image pack, Video, Image, Video Carousel, Related searches",informational,Organic
seat ibiza 2004,1,1,1000,23,0.15,https://llantasneumaticos.com/size/seat/ibiza/2004/,41,0.48,6.00,0.07,43200000,"[76,100,76,100,76,76,76,76,55,67,55,76]",2026-02-01,"Image pack, Video, Image, People also ask, Related searches",informational,Image pack
audi a32006,1,1,1000,24,0.10,https://llantasneumaticos.com/size/audi/a3/2006/,41,0.48,4.00,0.12,778000,"[76,76,76,100,76,76,67,76,76,76,76,67]",2026-02-03,"Image pack, Video, Image, People also ask, Related searches",informational,Image pack
citroen 2005 c3,1,1,1000,0,0.15,https://llantasneumaticos.com/size/citroen/c3/2005/,41,0.48,6.00,0.14,0,"[100,55,45,100,100,76,100,76,76,100,76,67]",2026-03-27,Image pack,informational,Image pack
ford fiesta 2000,1,1,1000,22,0.00,https://llantasneumaticos.com/size/ford/fiesta/2000/,41,0.48,0.00,0,79300000,"[76,76,100,100,67,55,67,76,55,76,76,45]",2026-02-11,"Image pack, Video, Image, People also ask, Related searches",informational,Image pack
ford mondeo 2005,1,1,1000,23,0.05,https://llantasneumaticos.com/size/ford/mondeo/2005/,41,0.48,2.00,0.06,47800000,"[55,76,67,100,67,67,67,76,76,100,67,67]",2026-02-02,"Image pack, Video, Image, People also ask, Related searches",informational,Image pack
pcd toyota hiace,1,1,50,18,0.00,https://llantasneumaticos.com/size/toyota/hiace/,40,0.47,0.00,0.33,616000,"[14,0,28,100,28,50,14,100,28,0,14,14]",2026-02-06,"Image pack, Sitelinks, Image, People also ask, Related searches",navigational,Organic
ibiza seat 2003,1,1,880,23,0.12,https://llantasneumaticos.com/size/seat/ibiza/2003/,36,0.42,4.00,0.03,14800000,"[72,100,100,88,72,88,88,88,88,72,72,72]",2026-01-31,"Image pack, Video, Image, People also ask, Related searches",informational,Image pack
2013 mercedes cls class,1,1,260,25,0.00,https://llantasneumaticos.com/size/mercedes/cls-class-amg/2013/,34,0.4,0.00,0.46,0,"[8,1,100,1,8,1,1,24,76,3,1,0]",2026-03-15,"Image pack, Video, Image, Video Carousel, Related searches","informational, transactional",Image pack
medidas de llantas,1,1,260,8,0.00,https://llantasneumaticos.com/?nocache=1,34,0.4,0.00,0.21,0,"[100,81,81,81,53,65,65,65,65,81,81,81]",2026-03-12,"Image pack, Video, Image, Video Carousel, Related searches",informational,Organic
citroën c4 2008,1,1,260,25,0.08,https://llantasneumaticos.com/size/citroen/c4/2008/,34,0.4,2.00,0.27,27700000,"[67,100,3,5,4,29,36,10,81,10,10,10]",2026-02-03,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",navigational,Image pack
2000 seat cordoba,1,1,390,0,0.00,https://llantasneumaticos.com/size/seat/cordoba/2000/,32,0.38,0.00,0.01,3,"[44,23,100,100,66,81,81,66,66,66,81,66]",2026-02-03,"Image pack, Video Carousel, People also ask, Related searches",informational,Image pack
seat cordoba 2002,1,1,720,21,0.18,https://llantasneumaticos.com/size/seat/cordoba/,29,0.34,5.00,0.04,8950000,"[72,100,72,100,72,72,72,88,88,59,88,59]",2026-02-11,"Image pack, Video, Image, People also ask, Related searches",informational,Image pack
seat ibiza 2003,1,1,720,24,0.12,https://llantasneumaticos.com/size/seat/ibiza/2003/,29,0.34,3.00,0.03,41000000,"[59,88,88,88,72,100,48,88,72,88,72,59]",2026-01-30,"Image pack, Video, Image, People also ask, Related searches",informational,Image pack
citroen c4 2004,1,1,720,18,0.24,https://llantasneumaticos.com/size/citroen/c4/2004/,29,0.34,6.00,0.46,0,"[54,54,67,67,100,81,81,81,81,81,67,67]",2026-03-14,"Image pack, Related searches","informational, transactional",Image pack
protege mazda,1,1,720,17,0.00,https://llantasneumaticos.com/size/mazda/protege/2002/,29,0.34,0.00,0.07,0,"[0,0,1,1,100,84,100,0,0,0,84,68]",2026-03-19,"Image pack, Video, Image, Popular products, Related searches",informational,Image pack
opel corsa 2005,1,1,720,24,0.15,https://llantasneumaticos.com/size/opel/corsa/2005/,29,0.34,4.00,0.06,63400000,"[48,59,72,72,72,72,72,72,88,88,72,59]",2026-02-04,"Image pack, Video, Image, People also ask, Related searches","informational, transactional",Image pack
